Date,Inflation
1/1/45,2.298850574712663
1/2/45,2.298850574712663
1/3/45,2.298850574712663
1/4/45,2.298850574712663
1/5/45,2.298850574712663
1/6/45,2.298850574712663
1/7/45,2.298850574712663
1/8/45,2.298850574712663
1/9/45,2.298850574712663
1/10/45,2.298850574712663
1/11/45,2.298850574712663
1/12/45,2.298850574712663
1/13/45,2.298850574712663
1/14/45,2.298850574712663
1/15/45,2.298850574712663
1/16/45,2.298850574712663
1/17/45,2.298850574712663
1/18/45,2.298850574712663
1/19/45,2.298850574712663
1/20/45,2.298850574712663
1/21/45,2.298850574712663
1/22/45,2.298850574712663
1/23/45,2.298850574712663
1/24/45,2.298850574712663
1/25/45,2.298850574712663
1/26/45,2.298850574712663
1/27/45,2.298850574712663
1/28/45,2.298850574712663
1/29/45,2.298850574712663
1/30/45,2.298850574712663
1/31/45,2.298850574712663
2/1/45,2.298850574712663
2/2/45,2.298850574712663
2/3/45,2.298850574712663
2/4/45,2.298850574712663
2/5/45,2.298850574712663
2/6/45,2.298850574712663
2/7/45,2.298850574712663
2/8/45,2.298850574712663
2/9/45,2.298850574712663
2/10/45,2.298850574712663
2/11/45,2.298850574712663
2/12/45,2.298850574712663
2/13/45,2.298850574712663
2/14/45,2.298850574712663
2/15/45,2.298850574712663
2/16/45,2.298850574712663
2/17/45,2.298850574712663
2/18/45,2.298850574712663
2/19/45,2.298850574712663
2/20/45,2.298850574712663
2/21/45,2.298850574712663
2/22/45,2.298850574712663
2/23/45,2.298850574712663
2/24/45,2.298850574712663
2/25/45,2.298850574712663
2/26/45,2.298850574712663
2/27/45,2.298850574712663
2/28/45,2.298850574712663
3/1/45,2.298850574712663
3/2/45,2.279888785912898
3/3/45,2.2609340252038646
3/4/45,2.2419862886788877
3/5/45,2.2230455724342457
3/6/45,2.2041118725690145
3/7/45,2.185185185185201
3/8/45,2.166265506387721
3/9/45,2.1473528322843327
3/10/45,2.1284471589857468
3/11/45,2.1095484826054944
3/12/45,2.090656799259949
3/13/45,2.071772105068459
3/14/45,2.0528943961531487
3/15/45,2.034023668639051
3/16/45,2.015159918654086
3/17/45,1.9963031423290367
3/18/45,1.9774533357974633
3/19/45,1.9586104951958783
3/20/45,1.939774616663592
3/21/45,1.920945696342824
3/22/45,1.9021237303785687
3/23/45,1.8833087149187744
3/24/45,1.8645006461140978
3/25/45,1.845699520118127
3/26/45,1.826905333087292
3/27/45,1.8081180811808206
3/28/45,1.789337760560783
3/29/45,1.7705643673921134
3/30/45,1.7517978978425441
3/31/45,1.733038348082605
4/1/45,1.7142857142857126
4/2/45,1.7333333333333423
4/3/45,1.752380952380972
4/4/45,1.7714285714285793
4/5/45,1.7904761904761868
4/6/45,1.8095238095238164
4/7/45,1.8285714285714239
4/8/45,1.8476190476190535
4/9/45,1.8666666666666831
4/10/45,1.8857142857142684
4/11/45,1.904761904761898
4/12/45,1.9238095238095276
4/13/45,1.942857142857135
4/14/45,1.9619047619047647
4/15/45,1.9809523809523943
4/16/45,2.0000000000000018
4/17/45,2.019047619047609
4/18/45,2.038095238095239
4/19/45,2.0571428571428463
4/20/45,2.076190476190476
4/21/45,2.0952380952381056
4/22/45,2.114285714285691
4/23/45,2.1333333333333204
4/24/45,2.152380952
4/25/45,2.1714285714285575
4/26/45,2.190476190476187
4/27/45,2.2095238095238168
4/28/45,2.228571428571424
4/29/45,2.2476190476190316
4/30/45,2.2666666666666613
5/1/45,2.2857142857142687
5/2/45,2.3037228160707635
5/3/45,2.3217247097844007
5/4/45,2.339719970523202
5/5/45,2.3577086019524796
5/6/45,2.375690607734793
5/7/45,2.393665991530103
5/8/45,2.411634756995573
5/9/45,2.429596907785725
5/10/45,2.447552447552437
5/11/45,2.465501379944812
5/12/45,2.4834437086092676
5/13/45,2.5013794371896214
5/14/45,2.5193085693269612
5/15/45,2.5372311086596655
5/16/45,2.555147058823515
5/17/45,2.5730564234515807
5/18/45,2.5909592061742037
5/19/45,2.6088554106191486
5/20/45,2.626745040411471
5/21/45,2.6446280991735627
5/22/45,2.662504591
5/23/45,2.6803745180833616
5/24/45,2.6982378854625733
5/25/45,2.7160946962745403
5/26/45,2.733944954128442
5/27/45,2.7517886626307053
5/28/45,2.769625825385158
5/29/45,2.7874564459930307
5/30/45,2.8052805280528226
5/31/45,2.8230980751603907
6/1/45,2.840909090909083
6/2/45,2.821435334216993
6/3/45,2.801968951154854
6/4/45,2.7825099375355045
6/5/45,2.763058289174869
6/6/45,2.7436140018921584
6/7/45,2.724177071509648
6/8/45,2.704747493852855
6/9/45,2.6853252647503822
6/10/45,2.665910380034031
6/11/45,2.6465028355387554
6/12/45,2.627102627
6/13/45,2.607709751
6/14/45,2.5883242017759267
6/15/45,2.5689459765772638
6/16/45,2.5495750708215414
6/17/45,2.530211480362543
6/18/45,2.510855201057205
6/19/45,2.491506228765572
6/20/45,2.472164559
6/21/45,2.452830188679256
6/22/45,2.433503113
6/23/45,2.4141833270464153
6/24/45,2.3948708278333175
6/25/45,2.3755656108597423
6/26/45,2.3562676720075393
6/27/45,2.3369770071617113
6/28/45,2.317693612210303
6/29/45,2.2984174830444903
6/30/45,2.2791486155584906
7/1/45,2.259887005649719
7/2/45,2.259887005649719
7/3/45,2.259887005649719
7/4/45,2.259887005649719
7/5/45,2.259887005649719
7/6/45,2.259887005649719
7/7/45,2.259887005649719
7/8/45,2.259887005649719
7/9/45,2.259887005649719
7/10/45,2.259887005649719
7/11/45,2.259887005649719
7/12/45,2.259887005649719
7/13/45,2.259887005649719
7/14/45,2.259887005649719
