Date,Debt_to_GDP_Ratio
1945-01-01,1.1335766301489922
1945-01-02,1.133728474997899
1945-01-03,1.133880319846806
1945-01-04,1.1340321646957128
1945-01-05,1.1341840095446196
1945-01-06,1.1343358543935267
1945-01-07,1.1344876992424335
1945-01-08,1.1346395440913404
1945-01-09,1.1347913889402472
1945-01-10,1.134943233789154
1945-01-11,1.135095078638061
1945-01-12,1.1352469234869678
1945-01-13,1.1353987683358746
1945-01-14,1.1355506131847815
1945-01-15,1.1357024580336885
1945-01-16,1.1358543028825954
1945-01-17,1.1360061477315022
1945-01-18,1.136157992580409
1945-01-19,1.136309837429316
1945-01-20,1.1364616822782228
1945-01-21,1.1366135271271296
1945-01-22,1.1367653719760364
1945-01-23,1.1369172168249433
1945-01-24,1.1370690616738504
1945-01-25,1.1372209065227572
1945-01-26,1.137372751371664
1945-01-27,1.137524596220571
1945-01-28,1.1376764410694777
1945-01-29,1.1378282859183846
1945-01-30,1.1379801307672914
1945-01-31,1.1381319756161983
1945-02-01,1.1382838204651051
1945-02-02,1.1384356653140122
1945-02-03,1.138587510162919
1945-02-04,1.1387393550118259
1945-02-05,1.1388911998607327
1945-02-06,1.1390430447096396
1945-02-07,1.1391948895585464
1945-02-08,1.1393467344074533
1945-02-09,1.1394985792563601
1945-02-10,1.139650424105267
1945-02-11,1.139802268954174
1945-02-12,1.1399541138030809
1945-02-13,1.1401059586519877
1945-02-14,1.1402578035008946
1945-02-15,1.1404096483498014
1945-02-16,1.1405614931987083
1945-02-17,1.140713338047615
1945-02-18,1.140865182896522
1945-02-19,1.141017027745429
1945-02-20,1.1411688725943359
1945-02-21,1.1413207174432427
1945-02-22,1.1414725622921496
1945-02-23,1.1416244071410564
1945-02-24,1.1417762519899632
1945-02-25,1.14192809683887
1945-02-26,1.142079941687777
1945-02-27,1.1422317865366838
1945-02-28,1.1423836313855908
1945-03-01,1.1425354762344977
1945-03-02,1.1426873210834045
1945-03-03,1.1428391659323114
1945-03-04,1.1429910107812182
1945-03-05,1.143142855630125
1945-03-06,1.143294700479032
1945-03-07,1.1434465453279388
1945-03-08,1.1435983901768456
1945-03-09,1.1437502350257527
1945-03-10,1.1439020798746595
1945-03-11,1.1440539247235664
1945-03-12,1.1442057695724732
1945-03-13,1.14435761442138
1945-03-14,1.144509459270287
1945-03-15,1.1446613041191938
1945-03-16,1.1448131489681006
1945-03-17,1.1449649938170074
1945-03-18,1.1451168386659145
1945-03-19,1.1452686835148214
1945-03-20,1.1454205283637282
1945-03-21,1.145572373212635
1945-03-22,1.145724218061542
1945-03-23,1.1458760629104487
1945-03-24,1.1460279077593556
1945-03-25,1.1461797526082624
1945-03-26,1.1463315974571693
1945-03-27,1.1464834423060764
1945-03-28,1.1466352871549832
1945-03-29,1.14678713200389
1945-03-30,1.1469389768527969
1945-03-31,1.1470908217017037
1945-04-01,1.1472426665506106
1945-04-02,1.1473945113995174
1945-04-03,1.1475463562484243
1945-04-04,1.1476982010973311
1945-04-05,1.1478500459462382
1945-04-06,1.148001890795145
1945-04-07,1.1481537356440519
1945-04-08,1.1483055804929587
1945-04-09,1.1484574253418656
1945-04-10,1.1486092701907724
1945-04-11,1.1487611150396793
1945-04-12,1.148912959888586
1945-04-13,1.149064804737493
1945-04-14,1.1492166495864
1945-04-15,1.1493684944353069
1945-04-16,1.1495203392842137
1945-04-17,1.1496721841331206
1945-04-18,1.1498240289820274
1945-04-19,1.1499758738309342
1945-04-20,1.150127718679841
1945-04-21,1.150279563528748
1945-04-22,1.1504314083776548
1945-04-23,1.1505832532265619
1945-04-24,1.1507350980754687
1945-04-25,1.1508869429243755
1945-04-26,1.1510387877732824
1945-04-27,1.1511906326221892
1945-04-28,1.151342477471096
1945-04-29,1.151494322320003
1945-04-30,1.1516461671689098
1945-05-01,1.1517980120178166
1945-05-02,1.1519498568667237
1945-05-03,1.1521017017156305
1945-05-04,1.1522535465645374
1945-05-05,1.1524053914134442
1945-05-06,1.152557236262351
1945-05-07,1.152709081111258
1945-05-08,1.1528609259601648
1945-05-09,1.1530127708090716
1945-05-10,1.1531646156579785
1945-05-11,1.1533164605068855
1945-05-12,1.1534683053557924
1945-05-13,1.1536201502046992
1945-05-14,1.153771995053606
1945-05-15,1.153923839902513
1945-05-16,1.1540756847514198
1945-05-17,1.1542275296003266
1945-05-18,1.1543793744492334
1945-05-19,1.1545312192981405
1945-05-20,1.1546830641470474
1945-05-21,1.1548349089959542
1945-05-22,1.154986753844861
1945-05-23,1.155138598693768
1945-05-24,1.1552904435426747
1945-05-25,1.1554422883915816
1945-05-26,1.1555941332404884
1945-05-27,1.1557459780893953
1945-05-28,1.1558978229383023
1945-05-29,1.1560496677872092
1945-05-30,1.156201512636116
1945-05-31,1.1563533574850229
1945-06-01,1.1565052023339297
1945-06-02,1.1566570471828366
1945-06-03,1.1568088920317434
1945-06-04,1.1569607368806503
1945-06-05,1.157112581729557
1945-06-06,1.1572644265784642
1945-06-07,1.157416271427371
1945-06-08,1.1575681162762779
1945-06-09,1.1577199611251847
1945-06-10,1.1578718059740916
1945-06-11,1.1580236508229984
1945-06-12,1.1581754956719053
1945-06-13,1.158327340520812
1945-06-14,1.158479185369719
1945-06-15,1.158631030218626
1945-06-16,1.1587828750675329
1945-06-17,1.1589347199164397
1945-06-18,1.1590865647653465
1945-06-19,1.1592384096142534
1945-06-20,1.1593902544631602
1945-06-21,1.159542099312067
1945-06-22,1.159693944160974
1945-06-23,1.1598457890098808
1945-06-24,1.1599976338587878
1945-06-25,1.1601494787076947
1945-06-26,1.1603013235566015
1945-06-27,1.1604531684055084
1945-06-28,1.1606050132544152
1945-06-29,1.160756858103322
1945-06-30,1.160908702952229
1945-07-01,1.1610605478011358
1945-07-02,1.1612123926500426
1945-07-03,1.1613642374989497
1945-07-04,1.1615160823478565
1945-07-05,1.1616679271967634
