Date,M2 Velocity
1959-03-31,1.773
1959-04-01,1.773175824175824
1959-04-02,1.7733516483516483
1959-04-03,1.7735274725274723
1959-04-06,1.774054945054945
1959-04-07,1.774230769230769
1959-04-08,1.7744065934065933
1959-04-09,1.7745824175824174
1959-04-10,1.7747582417582417
1959-04-13,1.7752857142857141
1959-04-14,1.7754615384615384
1959-04-15,1.7756373626373625
1959-04-16,1.7758131868131868
1959-04-17,1.7759890109890109
1959-04-20,1.7765164835164835
1959-04-21,1.7766923076923076
1959-04-22,1.7768681318681319
1959-04-23,1.777043956043956
1959-04-24,1.7772197802197802
1959-04-27,1.7777472527472526
1959-04-28,1.777923076923077
1959-04-29,1.778098901098901
1959-04-30,1.7782747252747253
1959-05-01,1.7784505494505494
1959-05-04,1.7789780219780218
1959-05-05,1.779153846153846
1959-05-06,1.7793296703296702
1959-05-07,1.7795054945054944
1959-05-08,1.7796813186813185
1959-05-11,1.7802087912087912
1959-05-12,1.7803846153846152
1959-05-13,1.7805604395604395
1959-05-14,1.7807362637362636
1959-05-15,1.7809120879120879
1959-05-18,1.7814395604395603
1959-05-19,1.7816153846153846
1959-05-20,1.7817912087912087
1959-05-21,1.781967032967033
1959-05-22,1.782142857142857
1959-05-25,1.7826703296703297
1959-05-26,1.7828461538461537
1959-05-27,1.783021978021978
1959-05-28,1.783197802197802
1959-05-29,1.7833736263736264
1959-06-01,1.7839010989010988
1959-06-02,1.784076923076923
1959-06-03,1.7842527472527472
1959-06-04,1.7844285714285713
1959-06-05,1.7846043956043955
1959-06-08,1.785131868131868
1959-06-09,1.7853076923076923
1959-06-10,1.7854835164835163
1959-06-11,1.7856593406593406
1959-06-12,1.7858351648351647
1959-06-15,1.7863626373626373
1959-06-16,1.7865384615384614
1959-06-17,1.7867142857142857
1959-06-18,1.7868901098901098
1959-06-19,1.787065934065934
1959-06-22,1.7875934065934065
1959-06-23,1.7877692307692308
1959-06-24,1.7879450549450548
1959-06-25,1.7881208791208791
1959-06-26,1.7882967032967032
1959-06-29,1.7888241758241759
1959-06-30,1.789
1959-07-01,1.7888260869565216
1959-07-02,1.7886521739130434
1959-07-03,1.788478260869565
1959-07-06,1.7879565217391304
1959-07-07,1.787782608695652
1959-07-08,1.7876086956521737
1959-07-09,1.7874347826086956
1959-07-10,1.7872608695652172
1959-07-13,1.7867391304347826
1959-07-14,1.7865652173913042
1959-07-15,1.7863913043478261
1959-07-16,1.7862173913043478
1959-07-17,1.7860434782608694
1959-07-20,1.7855217391304348
1959-07-21,1.7853478260869564
1959-07-22,1.7851739130434783
1959-07-23,1.785
1959-07-24,1.7848260869565216
1959-07-27,1.784304347826087
1959-07-28,1.7841304347826086
1959-07-29,1.7839565217391304
1959-07-30,1.783782608695652
1959-07-31,1.7836086956521737
1959-08-03,1.783086956521739
1959-08-04,1.7829130434782607
1959-08-05,1.7827391304347826
1959-08-06,1.7825652173913042
1959-08-07,1.782391304347826
1959-08-10,1.7818695652173913
1959-08-11,1.781695652173913
1959-08-12,1.7815217391304348
1959-08-13,1.7813478260869564
1959-08-14,1.7811739130434783
1959-08-17,1.7806521739130434
1959-08-18,1.780478260869565
1959-08-19,1.780304347826087
1959-08-20,1.7801304347826086
1959-08-21,1.7799565217391304
1959-08-24,1.7794347826086956
1959-08-25,1.7792608695652172
1959-08-26,1.779086956521739
1959-08-27,1.7789130434782607
1959-08-28,1.7787391304347826
1959-08-31,1.7782173913043477
1959-09-01,1.7780434782608694
1959-09-02,1.7778695652173913
1959-09-03,1.777695652173913
1959-09-04,1.7775217391304348
1959-09-07,1.777
1959-09-08,1.7768260869565216
1959-09-09,1.7766521739130434
1959-09-10,1.776478260869565
1959-09-11,1.776304347826087
1959-09-14,1.775782608695652
1959-09-15,1.7756086956521737
1959-09-16,1.7754347826086956
1959-09-17,1.7752608695652172
1959-09-18,1.775086956521739
1959-09-21,1.7745652173913042
1959-09-22,1.774391304347826
1959-09-23,1.7742173913043477
1959-09-24,1.7740434782608694
1959-09-25,1.7738695652173913
1959-09-28,1.7733478260869564
1959-09-29,1.7731739130434783
1959-09-30,1.773
1959-10-01,1.7730652173913042
1959-10-02,1.7731304347826087
1959-10-05,1.7733260869565217
1959-10-06,1.773391304347826
1959-10-07,1.7734565217391303
1959-10-08,1.7735217391304348
1959-10-09,1.773586956521739
1959-10-12,1.773782608695652
1959-10-13,1.7738478260869563
1959-10-14,1.7739130434782608
1959-10-15,1.7739782608695651
