Date,Bank Capital Ratio %
1945-01-01,27.390102966336862
1945-01-02,27.390102966336862
1945-01-03,27.390102966336862
1945-01-04,27.390102966336862
1945-01-05,27.390102966336862
1945-01-08,27.390102966336862
1945-01-09,27.390102966336862
1945-01-10,27.390102966336862
1945-01-11,27.390102966336862
1945-01-12,27.390102966336862
1945-01-15,27.390102966336862
1945-01-16,27.390102966336862
1945-01-17,27.390102966336862
1945-01-18,27.390102966336862
1945-01-19,27.390102966336862
1945-01-22,27.390102966336862
1945-01-23,27.390102966336862
1945-01-24,27.390102966336862
1945-01-25,27.390102966336862
1945-01-26,27.390102966336862
1945-01-29,27.390102966336862
1945-01-30,27.390102966336862
1945-01-31,27.390102966336862
1945-02-01,27.390102966336862
1945-02-02,27.390102966336862
1945-02-05,27.390102966336862
1945-02-06,27.390102966336862
1945-02-07,27.390102966336862
1945-02-08,27.390102966336862
1945-02-09,27.390102966336862
1945-02-12,27.390102966336862
1945-02-13,27.390102966336862
1945-02-14,27.390102966336862
1945-02-15,27.390102966336862
1945-02-16,27.390102966336862
1945-02-19,27.390102966336862
1945-02-20,27.390102966336862
1945-02-21,27.390102966336862
1945-02-22,27.390102966336862
1945-02-23,27.390102966336862
1945-02-26,27.390102966336862
1945-02-27,27.390102966336862
1945-02-28,27.390102966336862
1945-03-01,27.390102966336862
1945-03-02,27.390102966336862
1945-03-05,27.390102966336862
1945-03-06,27.390102966336862
1945-03-07,27.390102966336862
1945-03-08,27.390102966336862
1945-03-09,27.390102966336862
1945-03-12,27.390102966336862
1945-03-13,27.390102966336862
1945-03-14,27.390102966336862
1945-03-15,27.390102966336862
1945-03-16,27.390102966336862
1945-03-19,27.390102966336862
1945-03-20,27.390102966336862
1945-03-21,27.390102966336862
1945-03-22,27.390102966336862
1945-03-23,27.390102966336862
1945-03-26,27.390102966336862
1945-03-27,27.390102966336862
1945-03-28,27.390102966336862
1945-03-29,27.390102966336862
1945-03-30,27.390102966336862
1945-04-02,27.390102966336862
1945-04-03,27.390102966336862
1945-04-04,27.390102966336862
1945-04-05,27.390102966336862
1945-04-06,27.390102966336862
1945-04-09,27.390102966336862
1945-04-10,27.390102966336862
1945-04-11,27.390102966336862
1945-04-12,27.390102966336862
1945-04-13,27.390102966336862
1945-04-16,27.390102966336862
1945-04-17,27.390102966336862
1945-04-18,27.390102966336862
1945-04-19,27.390102966336862
1945-04-20,27.390102966336862
1945-04-23,27.390102966336862
1945-04-24,27.390102966336862
1945-04-25,27.390102966336862
1945-04-26,27.390102966336862
1945-04-27,27.390102966336862
1945-04-30,27.390102966336862
1945-05-01,27.390102966336862
1945-05-02,27.390102966336862
1945-05-03,27.390102966336862
1945-05-04,27.390102966336862
1945-05-07,27.390102966336862
1945-05-08,27.390102966336862
1945-05-09,27.390102966336862
1945-05-10,27.390102966336862
1945-05-11,27.390102966336862
1945-05-14,27.390102966336862
1945-05-15,27.390102966336862
1945-05-16,27.390102966336862
1945-05-17,27.390102966336862
1945-05-18,27.390102966336862
1945-05-21,27.390102966336862
1945-05-22,27.390102966336862
1945-05-23,27.390102966336862
1945-05-24,27.390102966336862
1945-05-25,27.390102966336862
1945-05-28,27.390102966336862
1945-05-29,27.390102966336862
1945-05-30,27.390102966336862
1945-05-31,27.390102966336862
1945-06-01,27.390102966336862
1945-06-04,27.390102966336862
1945-06-05,27.390102966336862
1945-06-06,27.390102966336862
1945-06-07,27.390102966336862
1945-06-08,27.390102966336862
1945-06-11,27.390102966336862
1945-06-12,27.390102966336862
1945-06-13,27.390102966336862
1945-06-14,27.390102966336862
1945-06-15,27.390102966336862
1945-06-18,27.390102966336862
1945-06-19,27.390102966336862
1945-06-20,27.390102966336862
1945-06-21,27.390102966336862
1945-06-22,27.390102966336862
1945-06-25,27.390102966336862
1945-06-26,27.390102966336862
1945-06-27,27.390102966336862
1945-06-28,27.390102966336862
1945-06-29,27.390102966336862
1945-07-02,27.390102966336862
1945-07-03,27.390102966336862
1945-07-04,27.390102966336862
1945-07-05,27.390102966336862
1945-07-06,27.390102966336862
1945-07-09,27.390102966336862
1945-07-10,27.390102966336862
1945-07-11,27.390102966336862
1945-07-12,27.390102966336862
1945-07-13,27.390102966336862
1945-07-16,27.390102966336862
1945-07-17,27.390102966336862
1945-07-18,27.390102966336862
1945-07-19,27.390102966336862
1945-07-20,27.390102966336862
1945-07-23,27.390102966336862
1945-07-24,27.390102966336862
1945-07-25,27.390102966336862
1945-07-26,27.390102966336862
1945-07-27,27.390102966336862
1945-07-30,27.390102966336862
1945-07-31,27.390102966336862
1945-08-01,27.390102966336862
1945-08-02,27.390102966336862
1945-08-03,27.390102966336862
1945-08-06,27.390102966336862
1945-08-07,27.390102966336862
1945-08-08,27.390102966336862
1945-08-09,27.390102966336862
1945-08-10,27.390102966336862
1945-08-13,27.390102966336862
1945-08-14,27.390102966336862
1945-08-15,27.390102966336862
1945-08-16,27.390102966336862
1945-08-17,27.390102966336862
1945-08-20,27.390102966336862
1945-08-21,27.390102966336862
1945-08-22,27.390102966336862
1945-08-23,27.390102966336862
1945-08-24,27.390102966336862
1945-08-27,27.390102966336862
1945-08-28,27.390102966336862
1945-08-29,27.390102966336862
1945-08-30,27.390102966336862
1945-08-31,27.390102966336862
1945-09-03,27.390102966336862
1945-09-04,27.390102966336862
1945-09-05,27.390102966336862
1945-09-06,27.390102966336862
1945-09-07,27.390102966336862
1945-09-10,27.390102966336862
1945-09-11,27.390102966336862
1945-09-12,27.390102966336862
1945-09-13,27.390102966336862
1945-09-14,27.390102966336862
1945-09-17,27.390102966336862
1945-09-18,27.390102966336862
1945-09-19,27.390102966336862
1945-09-20,27.390102966336862
1945-09-21,27.390102966336862
1945-09-24,27.390102966336862
1945-09-25,27.390102966336862
1945-09-26,27.390102966336862
1945-09-27,27.390102966336862
1945-09-28,27.390102966336862
1945-10-01,27.390102966336862
1945-10-02,27.390102966336862
1945-10-03,27.390102966336862
1945-10-04,27.390102966336862
1945-10-05,27.390102966336862
1945-10-08,27.390102966336862
1945-10-09,27.390102966336862
1945-10-10,27.390102966336862
1945-10-11,27.390102966336862
1945-10-12,27.390102966336862
1945-10-15,27.390102966336862
1945-10-16,27.390102966336862
1945-10-17,27.390102966336862
1945-10-18,27.390102966336862
1945-10-19,27.390102966336862
1945-10-22,27.390102966336862
1945-10-23,27.390102966336862
1945-10-24,27.390102966336862
1945-10-25,27.390102966336862
1945-10-26,27.390102966336862
1945-10-29,27.390102966336862
1945-10-30,27.390102966336862
1945-10-31,27.390102966336862
1945-11-01,27.390102966336862
1945-11-02,27.390102966336862
1945-11-05,27.390102966336862
1945-11-06,27.390102966336862
1945-11-07,27.390102966336862
1945-11-08,27.390102966336862
1945-11-09,27.390102966336862
1945-11-12,27.390102966336862
1945-11-13,27.390102966336862
1945-11-14,27.390102966336862
1945-11-15,27.390102966336862
1945-11-16,27.390102966336862
1945-11-19,27.390102966336862
1945-11-20,27.390102966336862
1945-11-21,27.390102966336862
1945-11-22,27.390102966336862
1945-11-23,27.390102966336862
1945-11-26,27.390102966336862
1945-11-27,27.390102966336862
1945-11-28,27.390102966336862
1945-11-29,27.390102966336862
1945-11-30,27.390102966336862
1945-12-03,27.390102966336862
1945-12-04,27.390102966336862
1945-12-05,27.390102966336862
1945-12-06,27.390102966336862
1945-12-07,27.390102966336862
1945-12-10,27.390102966336862
1945-12-11,27.390102966336862
1945-12-12,27.390102966336862
1945-12-13,27.390102966336862
1945-12-14,27.390102966336862
1945-12-17,27.390102966336862
1945-12-18,27.390102966336862
1945-12-19,27.390102966336862
1945-12-20,27.390102966336862
1945-12-21,27.390102966336862
1945-12-24,27.390102966336862
1945-12-25,27.390102966336862
1945-12-26,27.390102966336862
1945-12-27,27.390102966336862
1945-12-28,27.390102966336862
1945-12-31,27.390102966336862
1946-01-01,26.048624022209605
1946-01-02,26.048624022209605
1946-01-03,26.048624022209605
1946-01-04,26.048624022209605
1946-01-07,26.048624022209605
1946-01-08,26.048624022209605
1946-01-09,26.048624022209605
1946-01-10,26.048624022209605
1946-01-11,26.048624022209605
1946-01-14,26.048624022209605
1946-01-15,26.048624022209605
1946-01-16,26.048624022209605
1946-01-17,26.048624022209605
1946-01-18,26.048624022209605
1946-01-21,26.048624022209605
1946-01-22,26.048624022209605
1946-01-23,26.048624022209605
1946-01-24,26.048624022209605
1946-01-25,26.048624022209605
1946-01-28,26.048624022209605
1946-01-29,26.048624022209605
1946-01-30,26.048624022209605
1946-01-31,26.048624022209605
1946-02-01,26.048624022209605
1946-02-04,26.048624022209605
1946-02-05,26.048624022209605
1946-02-06,26.048624022209605
1946-02-07,26.048624022209605
1946-02-08,26.048624022209605
1946-02-11,26.048624022209605
1946-02-12,26.048624022209605
1946-02-13,26.048624022209605
1946-02-14,26.048624022209605
1946-02-15,26.048624022209605
1946-02-18,26.048624022209605
1946-02-19,26.048624022209605
1946-02-20,26.048624022209605
1946-02-21,26.048624022209605
1946-02-22,26.048624022209605
1946-02-25,26.048624022209605
1946-02-26,26.048624022209605
1946-02-27,26.048624022209605
1946-02-28,26.048624022209605
1946-03-01,26.048624022209605
1946-03-04,26.048624022209605
1946-03-05,26.048624022209605
1946-03-06,26.048624022209605
1946-03-07,26.048624022209605
1946-03-08,26.048624022209605
1946-03-11,26.048624022209605
1946-03-12,26.048624022209605
1946-03-13,26.048624022209605
1946-03-14,26.048624022209605
1946-03-15,26.048624022209605
1946-03-18,26.048624022209605
1946-03-19,26.048624022209605
1946-03-20,26.048624022209605
1946-03-21,26.048624022209605
1946-03-22,26.048624022209605
1946-03-25,26.048624022209605
1946-03-26,26.048624022209605
1946-03-27,26.048624022209605
1946-03-28,26.048624022209605
1946-03-29,26.048624022209605
1946-04-01,26.048624022209605
1946-04-02,26.048624022209605
1946-04-03,26.048624022209605
1946-04-04,26.048624022209605
1946-04-05,26.048624022209605
1946-04-08,26.048624022209605
1946-04-09,26.048624022209605
1946-04-10,26.048624022209605
1946-04-11,26.048624022209605
1946-04-12,26.048624022209605
1946-04-15,26.048624022209605
1946-04-16,26.048624022209605
1946-04-17,26.048624022209605
1946-04-18,26.048624022209605
1946-04-19,26.048624022209605
1946-04-22,26.048624022209605
1946-04-23,26.048624022209605
1946-04-24,26.048624022209605
1946-04-25,26.048624022209605
1946-04-26,26.048624022209605
1946-04-29,26.048624022209605
1946-04-30,26.048624022209605
1946-05-01,26.048624022209605
1946-05-02,26.048624022209605
1946-05-03,26.048624022209605
1946-05-06,26.048624022209605
1946-05-07,26.048624022209605
1946-05-08,26.048624022209605
1946-05-09,26.048624022209605
1946-05-10,26.048624022209605
1946-05-13,26.048624022209605
1946-05-14,26.048624022209605
1946-05-15,26.048624022209605
1946-05-16,26.048624022209605
1946-05-17,26.048624022209605
1946-05-20,26.048624022209605
1946-05-21,26.048624022209605
1946-05-22,26.048624022209605
1946-05-23,26.048624022209605
1946-05-24,26.048624022209605
1946-05-27,26.048624022209605
1946-05-28,26.048624022209605
1946-05-29,26.048624022209605
1946-05-30,26.048624022209605
1946-05-31,26.048624022209605
1946-06-03,26.048624022209605
1946-06-04,26.048624022209605
1946-06-05,26.048624022209605
1946-06-06,26.048624022209605
1946-06-07,26.048624022209605
1946-06-10,26.048624022209605
1946-06-11,26.048624022209605
1946-06-12,26.048624022209605
1946-06-13,26.048624022209605
1946-06-14,26.048624022209605
1946-06-17,26.048624022209605
1946-06-18,26.048624022209605
1946-06-19,26.048624022209605
1946-06-20,26.048624022209605
1946-06-21,26.048624022209605
1946-06-24,26.048624022209605
1946-06-25,26.048624022209605
1946-06-26,26.048624022209605
1946-06-27,26.048624022209605
1946-06-28,26.048624022209605
1946-07-01,26.048624022209605
1946-07-02,26.048624022209605
1946-07-03,26.048624022209605
1946-07-04,26.048624022209605
1946-07-05,26.048624022209605
1946-07-08,26.048624022209605
1946-07-09,26.048624022209605
1946-07-10,26.048624022209605
1946-07-11,26.048624022209605
1946-07-12,26.048624022209605
1946-07-15,26.048624022209605
1946-07-16,26.048624022209605
1946-07-17,26.048624022209605
1946-07-18,26.048624022209605
1946-07-19,26.048624022209605
1946-07-22,26.048624022209605
1946-07-23,26.048624022209605
1946-07-24,26.048624022209605
1946-07-25,26.048624022209605
1946-07-26,26.048624022209605
1946-07-29,26.048624022209605
1946-07-30,26.048624022209605
1946-07-31,26.048624022209605
1946-08-01,26.048624022209605
1946-08-02,26.048624022209605
1946-08-05,26.048624022209605
1946-08-06,26.048624022209605
1946-08-07,26.048624022209605
1946-08-08,26.048624022209605
1946-08-09,26.048624022209605
1946-08-12,26.048624022209605
1946-08-13,26.048624022209605
1946-08-14,26.048624022209605
1946-08-15,26.048624022209605
1946-08-16,26.048624022209605
1946-08-19,26.048624022209605
1946-08-20,26.048624022209605
1946-08-21,26.048624022209605
1946-08-22,26.048624022209605
1946-08-23,26.048624022209605
1946-08-26,26.048624022209605
1946-08-27,26.048624022209605
1946-08-28,26.048624022209605
1946-08-29,26.048624022209605
1946-08-30,26.048624022209605
1946-09-02,26.048624022209605
1946-09-03,26.048624022209605
1946-09-04,26.048624022209605
1946-09-05,26.048624022209605
1946-09-06,26.048624022209605
1946-09-09,26.048624022209605
1946-09-10,26.048624022209605
1946-09-11,26.048624022209605
1946-09-12,26.048624022209605
1946-09-13,26.048624022209605
1946-09-16,26.048624022209605
1946-09-17,26.048624022209605
1946-09-18,26.048624022209605
1946-09-19,26.048624022209605
1946-09-20,26.048624022209605
1946-09-23,26.048624022209605
1946-09-24,26.048624022209605
1946-09-25,26.048624022209605
1946-09-26,26.048624022209605
1946-09-27,26.048624022209605
1946-09-30,26.048624022209605
1946-10-01,26.048624022209605
1946-10-02,26.048624022209605
1946-10-03,26.048624022209605
1946-10-04,26.048624022209605
1946-10-07,26.048624022209605
1946-10-08,26.048624022209605
1946-10-09,26.048624022209605
1946-10-10,26.048624022209605
1946-10-11,26.048624022209605
1946-10-14,26.048624022209605
1946-10-15,26.048624022209605
1946-10-16,26.048624022209605
1946-10-17,26.048624022209605
1946-10-18,26.048624022209605
1946-10-21,26.048624022209605
1946-10-22,26.048624022209605
1946-10-23,26.048624022209605
1946-10-24,26.048624022209605
1946-10-25,26.048624022209605
1946-10-28,26.048624022209605
1946-10-29,26.048624022209605
1946-10-30,26.048624022209605
1946-10-31,26.048624022209605
