Date,US_CPI_LEVEL
1945-01-31,16.91
1945-02-01,16.91
1945-02-02,16.956842105263156
1945-02-05,17.003684210526316
1945-02-06,17.050526315789472
1945-02-07,17.097368421052632
1945-02-08,17.14421052631579
1945-02-09,17.19105263157895
1945-02-12,17.237894736842104
1945-02-13,17.284736842105264
1945-02-14,17.33157894736842
1945-02-15,17.37842105263158
1945-02-16,17.425263157894737
1945-02-19,17.472105263157896
1945-02-20,17.518947368421053
1945-02-21,17.565789473684212
1945-02-22,17.61263157894737
1945-02-23,17.65947368421053
1945-02-26,17.706315789473685
1945-02-27,17.753157894736844
1945-02-28,17.8
1945-03-01,16.91
1945-03-02,16.952380952380953
1945-03-05,16.994761904761905
1945-03-06,17.037142857142857
1945-03-07,17.07952380952381
1945-03-08,17.121904761904762
1945-03-09,17.164285714285715
1945-03-12,17.206666666666667
1945-03-13,17.24904761904762
1945-03-14,17.291428571428572
1945-03-15,17.333809523809524
1945-03-16,17.376190476190477
1945-03-19,17.41857142857143
1945-03-20,17.46095238095238
1945-03-21,17.503333333333334
1945-03-22,17.545714285714286
1945-03-23,17.58809523809524
1945-03-26,17.63047619047619
1945-03-27,17.672857142857143
1945-03-28,17.715238095238096
1945-03-29,17.75761904761905
1945-03-30,17.8
1945-04-02,16.91
1945-04-03,16.9545
1945-04-04,16.999
1945-04-05,17.0435
1945-04-06,17.088
1945-04-09,17.1325
1945-04-10,17.177
1945-04-11,17.2215
1945-04-12,17.266000000000002
1945-04-13,17.3105
1945-04-16,17.355
1945-04-17,17.3995
1945-04-18,17.444
1945-04-19,17.488500000000002
1945-04-20,17.533
1945-04-23,17.5775
1945-04-24,17.622
1945-04-25,17.6665
1945-04-26,17.711000000000002
1945-04-27,17.7555
1945-04-30,17.8
1945-05-01,17.005
1945-05-02,17.045681818181816
1945-05-03,17.086363636363636
1945-05-04,17.127045454545453
1945-05-07,17.167727272727273
1945-05-08,17.20840909090909
1945-05-09,17.249090909090906
1945-05-10,17.289772727272727
1945-05-11,17.330454545454543
1945-05-14,17.371136363636364
1945-05-15,17.41181818181818
1945-05-16,17.452499999999997
1945-05-17,17.493181818181817
1945-05-18,17.533863636363634
1945-05-21,17.574545454545454
1945-05-22,17.61522727272727
1945-05-23,17.65590909090909
1945-05-24,17.696590909090908
1945-05-25,17.737272727272725
1945-05-28,17.777954545454545
1945-05-29,17.81863636363636
1945-05-30,17.859318181818182
1945-05-31,17.9
1945-06-01,17.195
1945-06-04,17.24025
1945-06-05,17.2855
1945-06-06,17.330750000000002
1945-06-07,17.376
1945-06-08,17.42125
1945-06-11,17.4665
1945-06-12,17.51175
1945-06-13,17.557000000000002
1945-06-14,17.60225
1945-06-15,17.6475
1945-06-18,17.69275
1945-06-19,17.738
1945-06-20,17.783250000000002
1945-06-21,17.828500000000002
1945-06-22,17.87375
1945-06-25,17.919
1945-06-26,17.96425
1945-06-27,18.009500000000003
1945-06-28,18.054750000000002
1945-06-29,18.1
1945-07-02,17.195
1945-07-03,17.238095238095237
1945-07-04,17.281190476190478
1945-07-05,17.324285714285715
1945-07-06,17.36738095238095
1945-07-09,17.410476190476192
1945-07-10,17.45357142857143
1945-07-11,17.496666666666666
1945-07-12,17.539761904761907
1945-07-13,17.582857142857144
1945-07-16,17.62595238095238
1945-07-17,17.66904761904762
1945-07-18,17.712142857142858
1945-07-19,17.755238095238095
1945-07-20,17.798333333333336
1945-07-23,17.841428571428573
1945-07-24,17.88452380952381
1945-07-25,17.92761904761905
1945-07-26,17.970714285714287
