Date,Globalization Index
1945-12-31,36.08390598297119
1946-01-01,36.08390598297119
1946-01-02,36.091210417380694
1946-01-03,36.098514851790206
1946-01-04,36.10581928619971
1946-01-07,36.113123720609224
1946-01-08,36.12042815501873
1946-01-09,36.12773258942824
1946-01-10,36.13503702383775
1946-01-11,36.14234145824726
1946-01-14,36.149645892656764
1946-01-15,36.15695032706627
1946-01-16,36.16425476147578
1946-01-17,36.17155919588529
1946-01-18,36.1788636302948
1946-01-21,36.186168064704304
1946-01-22,36.19347249911382
1946-01-23,36.20077693352332
1946-01-24,36.20808136793283
1946-01-25,36.21538580234234
1946-01-28,36.222690236751845
1946-01-29,36.22999467116136
1946-01-30,36.23729910557086
1946-01-31,36.244603539980375
1946-02-01,36.25190797438988
1946-02-04,36.25921240879939
1946-02-05,36.2665168432089
1946-02-06,36.2738212776184
1946-02-07,36.281125712027915
1946-02-08,36.28843014643742
1946-02-11,36.29573458084693
1946-02-12,36.30303901525644
1946-02-13,36.31034344966595
1946-02-14,36.317647884075456
1946-02-15,36.32495231848496
1946-02-18,36.33225675289447
1946-02-19,36.33956118730398
1946-02-20,36.34686562171349
1946-02-21,36.354170056122996
1946-02-22,36.36147449053251
1946-02-25,36.36877892494201
1946-02-26,36.376083359351526
1946-02-27,36.38338779376103
1946-02-28,36.390692228170536
1946-03-01,36.39799666258005
1946-03-04,36.405301096989554
1946-03-05,36.412605531399066
1946-03-06,36.41990996580857
1946-03-07,36.427214400218084
1946-03-08,36.43451883462759
1946-03-11,36.441823269037094
1946-03-12,36.44912770344661
1946-03-13,36.45643213785611
1946-03-14,36.463736572265624
1946-03-15,36.47104100667513
1946-03-18,36.47834544108464
1946-03-19,36.48564987549415
1946-03-20,36.49295430990366
1946-03-21,36.500258744313165
1946-03-22,36.50756317872267
1946-03-25,36.51486761313218
1946-03-26,36.52217204754169
1946-03-27,36.5294764819512
1946-03-28,36.536780916360705
1946-03-29,36.54408535077022
1946-04-01,36.55138978517972
1946-04-02,36.55869421958923
1946-04-03,36.56599865399874
1946-04-04,36.573303088408245
1946-04-05,36.58060752281776
1946-04-08,36.58791195722726
1946-04-09,36.595216391636775
1946-04-10,36.60252082604628
1946-04-11,36.60982526045579
1946-04-12,36.6171296948653
1946-04-15,36.6244341292748
1946-04-16,36.631738563684316
1946-04-17,36.63904299809382
1946-04-18,36.64634743250333
1946-04-19,36.65365186691284
1946-04-22,36.66095630132235
1946-04-23,36.668260735731856
1946-04-24,36.67556517014137
1946-04-25,36.68286960455087
1946-04-26,36.69017403896038
1946-04-29,36.69747847336989
1946-04-30,36.704782907779396
1946-05-01,36.71208734218891
1946-05-02,36.719391776598414
1946-05-03,36.726696211007926
1946-05-06,36.73400064541743
1946-05-07,36.74130507982694
