Date,Broad money aggregate
1945-01-01,143.89002166801356
1945-01-02,143.89002166801356
1945-01-03,143.89002166801356
1945-01-04,143.89002166801356
1945-01-05,143.89002166801356
1945-01-08,143.89002166801356
1945-01-09,143.89002166801356
1945-01-10,143.89002166801356
1945-01-11,143.89002166801356
1945-01-12,143.89002166801356
1945-01-15,143.89002166801356
1945-01-16,143.89002166801356
1945-01-17,143.89002166801356
1945-01-18,143.89002166801356
1945-01-19,143.89002166801356
1945-01-22,143.89002166801356
1945-01-23,143.89002166801356
1945-01-24,143.89002166801356
1945-01-25,143.89002166801356
1945-01-26,143.89002166801356
1945-01-29,143.89002166801356
1945-01-30,143.89002166801356
1945-01-31,143.89002166801356
1945-02-01,143.89002166801356
1945-02-02,143.89002166801356
1945-02-05,143.89002166801356
1945-02-06,143.89002166801356
1945-02-07,143.89002166801356
1945-02-08,143.89002166801356
1945-02-09,143.89002166801356
1945-02-12,143.89002166801356
1945-02-13,143.89002166801356
1945-02-14,143.89002166801356
1945-02-15,143.89002166801356
1945-02-16,143.89002166801356
1945-02-19,143.89002166801356
1945-02-20,143.89002166801356
1945-02-21,143.89002166801356
1945-02-22,143.89002166801356
1945-02-23,143.89002166801356
1945-02-26,143.89002166801356
1945-02-27,143.89002166801356
1945-02-28,143.89002166801356
1945-03-01,143.89002166801356
1945-03-02,143.89002166801356
1945-03-05,143.89002166801356
1945-03-06,143.89002166801356
1945-03-07,143.89002166801356
1945-03-08,143.89002166801356
1945-03-09,143.89002166801356
1945-03-12,143.89002166801356
1945-03-13,143.89002166801356
1945-03-14,143.89002166801356
1945-03-15,143.89002166801356
1945-03-16,143.89002166801356
1945-03-19,143.89002166801356
1945-03-20,143.89002166801356
1945-03-21,143.89002166801356
1945-03-22,143.89002166801356
1945-03-23,143.89002166801356
1945-03-26,143.89002166801356
1945-03-27,143.89002166801356
1945-03-28,143.89002166801356
1945-03-29,143.89002166801356
1945-03-30,143.89002166801356
1945-04-02,143.89002166801356
1945-04-03,143.89002166801356
1945-04-04,143.89002166801356
1945-04-05,143.89002166801356
1945-04-06,143.89002166801356
1945-04-09,143.89002166801356
1945-04-10,143.89002166801356
1945-04-11,143.89002166801356
1945-04-12,143.89002166801356
1945-04-13,143.89002166801356
1945-04-16,143.89002166801356
1945-04-17,143.89002166801356
1945-04-18,143.89002166801356
1945-04-19,143.89002166801356
1945-04-20,143.89002166801356
1945-04-23,143.89002166801356
1945-04-24,143.89002166801356
1945-04-25,143.89002166801356
1945-04-26,143.89002166801356
1945-04-27,143.89002166801356
1945-04-30,143.89002166801356
1945-05-01,143.89002166801356
1945-05-02,143.89002166801356
1945-05-03,143.89002166801356
1945-05-04,143.89002166801356
1945-05-07,143.89002166801356
1945-05-08,143.89002166801356
1945-05-09,143.89002166801356
1945-05-10,143.89002166801356
1945-05-11,143.89002166801356
1945-05-14,143.89002166801356
1945-05-15,143.89002166801356
1945-05-16,143.89002166801356
1945-05-17,143.89002166801356
1945-05-18,143.89002166801356
1945-05-21,143.89002166801356
1945-05-22,143.89002166801356
1945-05-23,143.89002166801356
1945-05-24,143.89002166801356
1945-05-25,143.89002166801356
1945-05-28,143.89002166801356
1945-05-29,143.89002166801356
1945-05-30,143.89002166801356
1945-05-31,143.89002166801356
1945-06-01,143.89002166801356
1945-06-04,143.89002166801356
1945-06-05,143.89002166801356
1945-06-06,143.89002166801356
1945-06-07,143.89002166801356
1945-06-08,143.89002166801356
1945-06-11,143.89002166801356
1945-06-12,143.89002166801356
1945-06-13,143.89002166801356
1945-06-14,143.89002166801356
1945-06-15,143.89002166801356
1945-06-18,143.89002166801356
1945-06-19,143.89002166801356
1945-06-20,143.89002166801356
1945-06-21,143.89002166801356
1945-06-22,143.89002166801356
1945-06-25,143.89002166801356
1945-06-26,143.89002166801356
1945-06-27,143.89002166801356
1945-06-28,143.89002166801356
1945-06-29,143.89002166801356
1945-07-02,143.89002166801356
1945-07-03,143.89002166801356
1945-07-04,143.89002166801356
1945-07-05,143.89002166801356
1945-07-06,143.89002166801356
1945-07-09,143.89002166801356
1945-07-10,143.89002166801356
1945-07-11,143.89002166801356
1945-07-12,143.89002166801356
1945-07-13,143.89002166801356
1945-07-16,143.89002166801356
1945-07-17,143.89002166801356
1945-07-18,143.89002166801356
1945-07-19,143.89002166801356
1945-07-20,143.89002166801356
1945-07-23,143.89002166801356
1945-07-24,143.89002166801356
1945-07-25,143.89002166801356
1945-07-26,143.89002166801356
1945-07-27,143.89002166801356
1945-07-30,143.89002166801356
1945-07-31,143.89002166801356
1945-08-01,143.89002166801356
1945-08-02,143.89002166801356
1945-08-03,143.89002166801356
1945-08-06,143.89002166801356
1945-08-07,143.89002166801356
1945-08-08,143.89002166801356
1945-08-09,143.89002166801356
1945-08-10,143.89002166801356
1945-08-13,143.89002166801356
1945-08-14,143.89002166801356
1945-08-15,143.89002166801356
1945-08-16,143.89002166801356
1945-08-17,143.89002166801356
1945-08-20,143.89002166801356
1945-08-21,143.89002166801356
1945-08-22,143.89002166801356
1945-08-23,143.89002166801356
1945-08-24,143.89002166801356
1945-08-27,143.89002166801356
1945-08-28,143.89002166801356
1945-08-29,143.89002166801356
1945-08-30,143.89002166801356
1945-08-31,143.89002166801356
1945-09-03,143.89002166801356
1945-09-04,143.89002166801356
1945-09-05,143.89002166801356
1945-09-06,143.89002166801356
1945-09-07,143.89002166801356
1945-09-10,143.89002166801356
1945-09-11,143.89002166801356
1945-09-12,143.89002166801356
1945-09-13,143.89002166801356
1945-09-14,143.89002166801356
1945-09-17,143.89002166801356
1945-09-18,143.89002166801356
1945-09-19,143.89002166801356
1945-09-20,143.89002166801356
1945-09-21,143.89002166801356
1945-09-24,143.89002166801356
1945-09-25,143.89002166801356
1945-09-26,143.89002166801356
1945-09-27,143.89002166801356
1945-09-28,143.89002166801356
1945-10-01,143.89002166801356
1945-10-02,143.89002166801356
1945-10-03,143.89002166801356
1945-10-04,143.89002166801356
1945-10-05,143.89002166801356
1945-10-08,143.89002166801356
1945-10-09,143.89002166801356
1945-10-10,143.89002166801356
1945-10-11,143.89002166801356
1945-10-12,143.89002166801356
1945-10-15,143.89002166801356
1945-10-16,143.89002166801356
1945-10-17,143.89002166801356
1945-10-18,143.89002166801356
1945-10-19,143.89002166801356
1945-10-22,143.89002166801356
1945-10-23,143.89002166801356
1945-10-24,143.89002166801356
1945-10-25,143.89002166801356
1945-10-26,143.89002166801356
1945-10-29,143.89002166801356
1945-10-30,143.89002166801356
1945-10-31,143.89002166801356
1945-11-01,143.89002166801356
1945-11-02,143.89002166801356
1945-11-05,143.89002166801356
1945-11-06,143.89002166801356
1945-11-07,143.89002166801356
1945-11-08,143.89002166801356
1945-11-09,143.89002166801356
1945-11-12,143.89002166801356
1945-11-13,143.89002166801356
1945-11-14,143.89002166801356
1945-11-15,143.89002166801356
1945-11-16,143.89002166801356
1945-11-19,143.89002166801356
1945-11-20,143.89002166801356
1945-11-21,143.89002166801356
1945-11-22,143.89002166801356
1945-11-23,143.89002166801356
1945-11-26,143.89002166801356
1945-11-27,143.89002166801356
1945-11-28,143.89002166801356
1945-11-29,143.89002166801356
1945-11-30,143.89002166801356
1945-12-03,143.89002166801356
1945-12-04,143.89002166801356
1945-12-05,143.89002166801356
1945-12-06,143.89002166801356
1945-12-07,143.89002166801356
1945-12-10,143.89002166801356
1945-12-11,143.89002166801356
1945-12-12,143.89002166801356
1945-12-13,143.89002166801356
1945-12-14,143.89002166801356
1945-12-17,143.89002166801356
1945-12-18,143.89002166801356
1945-12-19,143.89002166801356
1945-12-20,143.89002166801356
1945-12-21,143.89002166801356
1945-12-24,143.89002166801356
1945-12-25,143.89002166801356
1945-12-26,143.89002166801356
1945-12-27,143.89002166801356
1945-12-28,143.89002166801356
