Date,GPRI
1945-01-01,326.9896545410156
1945-01-02,326.57528588079634
1945-01-03,326.1609172205771
1945-01-04,325.74654856035784
1945-01-05,325.3321799001386
1945-01-08,324.0890739194808
1945-01-09,323.6747052592616
1945-01-10,323.2603365990423
1945-01-11,322.8459679388231
1945-01-12,322.4315992786038
1945-01-15,321.1884932979461
1945-01-16,320.7741246377268
1945-01-17,320.3597559775076
1945-01-18,319.9453873172883
1945-01-19,319.53101865706907
1945-01-22,318.2879126764113
1945-01-23,317.87354401619206
1945-01-24,317.4591753559728
1945-01-25,317.04480669575355
1945-01-26,316.63043803553427
1945-01-29,315.38733205487654
1945-01-30,314.97296339465726
1945-01-31,314.55859473443803
1945-02-01,314.14422607421875
1945-02-02,314.3927797589983
1945-02-05,315.13844081333707
1945-02-06,315.3869944981166
1945-02-07,315.63554818289623
1945-02-08,315.8841018676758
1945-02-09,316.13265555245533
1945-02-12,316.8783166067941
1945-02-13,317.12687029157365
1945-02-14,317.37542397635326
1945-02-15,317.6239776611328
1945-02-16,317.87253134591236
1945-02-19,318.61819240025113
1945-02-20,318.8667460850307
1945-02-21,319.1152997698103
1945-02-22,319.36385345458984
1945-02-23,319.6124071393694
1945-02-26,320.35806819370816
1945-02-27,320.6066218784877
1945-02-28,320.8551755632673
1945-03-01,321.1037292480469
1945-03-02,319.69990884104084
1945-03-05,315.48844762002267
1945-03-06,314.08462721301663
1945-03-07,312.6808068060106
1945-03-08,311.27698639900456
1945-03-09,309.87316599199846
1945-03-12,305.66170477098035
1945-03-13,304.2578843639743
1945-03-14,302.8540639569683
1945-03-15,301.4502435499622
1945-03-16,300.04642314295614
1945-03-19,295.83496192193803
1945-03-20,294.43114151493194
1945-03-21,293.0273211079259
1945-03-22,291.62350070091986
1945-03-23,290.2196802939138
1945-03-26,286.00821907289566
1945-03-27,284.6043986658896
1945-03-28,283.2005782588836
1945-03-29,281.79675785187754
1945-03-30,280.39293744487145
1945-04-02,276.06329854329425
1945-04-03,274.5413004557292
1945-04-04,273.01930236816406
1945-04-05,271.49730428059894
1945-04-06,269.9753061930339
1945-04-09,265.40931193033856
1945-04-10,263.88731384277344
1945-04-11,262.3653157552083
1945-04-12,260.84331766764325
1945-04-13,259.3213195800781
1945-04-16,254.7553253173828
1945-04-17,253.23332722981772
1945-04-18,251.7113291422526
1945-04-19,250.1893310546875
1945-04-20,248.6673329671224
1945-04-23,244.1013387044271
1945-04-24,242.57934061686197
1945-04-25,241.05734252929688
1945-04-26,239.53534444173178
1945-04-27,238.01334635416666
1945-04-30,233.44735209147134
1945-05-01,231.92535400390625
1945-05-02,232.16900388656123
1945-05-03,232.41265376921623
1945-05-04,232.6563036518712
1945-05-07,233.3872532998362
1945-05-08,233.63090318249118
1945-05-09,233.87455306514616
1945-05-10,234.11820294780117
1945-05-11,234.36185283045614
1945-05-14,235.0928024784211
1945-05-15,235.3364523610761
1945-05-16,235.5801022437311
1945-05-17,235.8237521263861
1945-05-18,236.06740200904107
1945-05-21,236.79835165700604
1945-05-22,237.04200153966104
1945-05-23,237.28565142231602
1945-05-24,237.52930130497103
1945-05-25,237.772951187626
1945-05-28,238.50390083559097
1945-05-29,238.74755071824598
1945-05-30,238.99120060090095
1945-05-31,239.23485048355596
1945-06-01,239.47850036621094
1945-06-04,240.93450164794922
1945-06-05,241.41983540852866
1945-06-06,241.90516916910806
1945-06-07,242.3905029296875
1945-06-08,242.87583669026694
1945-06-11,244.33183797200522
1945-06-12,244.81717173258463
1945-06-13,245.30250549316406
1945-06-14,245.7878392537435
1945-06-15,246.2731730143229
1945-06-18,247.7291742960612
1945-06-19,248.21450805664062
1945-06-20,248.69984181722006
1945-06-21,249.18517557779947
1945-06-22,249.6705093383789
1945-06-25,251.1265106201172
1945-06-26,251.61184438069662
1945-06-27,252.09717814127603
1945-06-28,252.58251190185547
1945-06-29,253.0678456624349
1945-07-02,254.88694812405495
1945-07-03,255.73538306451613
