Date,Total Return Index
1945-01-01,100.0
1945-01-02,100.20861655202388
1945-01-03,100.41766831270554
1945-01-04,100.62715618996228
1945-01-05,100.83708109360548
1945-01-08,101.0474439353445
1945-01-09,101.25824562879068
1945-01-10,101.46948708946135
1945-01-11,101.68116923478372
1945-01-12,101.8932929840989
1945-01-15,102.10585925866594
1945-01-16,102.31886898166572
1945-01-17,102.53232307820512
1945-01-18,102.74622247532086
1945-01-19,102.96056810198364
1945-01-22,103.1753608891022
1945-01-23,103.39060176952728
1945-01-24,103.6062916780556
1945-01-25,103.82243155143416
1945-01-26,104.03902232836413
1945-01-29,104.25606494950492
1945-01-30,104.47356035747838
1945-01-31,104.69150949687274
1945-02-01,104.70241888126276
1945-02-02,104.71332940246576
1945-02-05,104.72424106060024
1945-02-06,104.73515385578462
1945-02-07,104.7460677881374
1945-02-08,104.75698285777712
1945-02-09,104.76789906482222
1945-02-12,104.77881640939128
1945-02-13,104.78973489160282
1945-02-14,104.80065451157536
1945-02-15,104.81157526942754
1945-02-16,104.82249716527784
1945-02-19,104.83342019924493
1945-02-20,104.8443443714473
1945-02-21,104.85526968200368
1945-02-22,104.86619613103262
1945-02-23,104.87712371865275
1945-02-26,104.88805244498276
1945-02-27,104.89898231014128
1945-02-28,104.90991331424698
1945-03-01,104.91985157914918
1945-03-02,104.92979078551733
1945-03-05,104.93973093344056
1945-03-06,104.94967202300816
1945-03-07,104.95961405430924
1945-03-08,104.96955702743304
1945-03-09,104.9795009424688
1945-03-12,104.98944579950572
1945-03-13,104.99939159863304
1945-03-14,105.00933833994009
1945-03-15,105.01928602351596
1945-03-16,105.02923464945006
1945-03-19,105.03918421783162
1945-03-20,105.04913472874988
1945-03-21,105.05908618229417
1945-03-22,105.06903857855376
1945-03-23,105.07899191761796
1945-03-26,105.0889461995761
1945-03-27,105.0989014245175
1945-03-28,105.10885759253146
1945-03-29,105.11881470370736
1945-03-30,105.1287727581345
1945-04-02,105.13920601742277
1945-04-03,105.14964031213545
1945-04-04,105.16007564237532
1945-04-05,105.17051200824515
1945-04-06,105.18094940984771
1945-04-09,105.19138784728582
1945-04-10,105.20182732066222
1945-04-11,105.21226783007975
1945-04-12,105.22270937564124
1945-04-13,105.23315195744952
1945-04-16,105.2435955756074
1945-04-17,105.25404023021774
1945-04-18,105.26448592138344
1945-04-19,105.27493264920732
1945-04-20,105.28538041379228
1945-04-23,105.2958292152412
1945-04-24,105.30627905365702
1945-04-25,105.3167299291426
1945-04-26,105.32718184180092
1945-04-27,105.33763479173484
1945-04-30,105.34808877904736
1945-05-01,105.35763463006256
1945-05-02,105.36718134605093
1945-05-03,105.37672892709088
1945-05-04,105.38627737326075
1945-05-07,105.395826684639
1945-05-08,105.40537686130394
1945-05-09,105.41492790333402
1945-05-10,105.42447981080768
1945-05-11,105.43403258380329
1945-05-14,105.44358622239932
1945-05-15,105.45314072667416
1945-05-16,105.4626960967063
1945-05-17,105.47225233257416
1945-05-18,105.48180943435618
1945-05-21,105.49136740213086
1945-05-22,105.50092623597664
1945-05-23,105.5104859
1945-05-24,105.52004650219546
1945-05-25,105.52960793472546
1945-05-28,105.53917023364052
1945-05-29,105.54873339901916
1945-05-30,105.5582974309399
1945-05-31,105.56786232948124
1945-06-01,105.57833916518751
1945-06-04,105.58881704064288
1945-06-05,105.59929595595052
1945-06-06,105.60977591121356
1945-06-07,105.62025690653527
1945-06-08,105.63073894201888
1945-06-11,105.6412220177676
1945-06-12,105.65170613388466
1945-06-13,105.66219129047332
1945-06-14,105.67267748763685
1945-06-15,105.68316472547846
1945-06-18,105.6936530041015
1945-06-19,105.70414232360925
1945-06-20,105.71463268410494
1945-06-21,105.725124085692
1945-06-22,105.73561652847364
1945-06-25,105.74611001255325
1945-06-26,105.75660453803414
1945-06-27,105.76710010501968
1945-06-28,105.77759671361324
1945-06-29,105.78809436391818
1945-07-02,105.79811582015692
1945-07-03,105.80813822574244
1945-07-04,105.8181615807646
1945-07-05,105.82818588531345
1945-07-06,105.83821113947886
1945-07-09,105.84823734335085
1945-07-10,105.85826449701932
1945-07-11,105.8682926005743
1945-07-12,105.87832165410576
1945-07-13,105.88835165770364
1945-07-16,105.89838261145805
1945-07-17,105.9084145154589
1945-07-18,105.91844736979628
1945-07-19,105.92848117456018
1945-07-20,105.93851592984062
1945-07-23,105.94855163572768
1945-07-24,105.95858829231138
1945-07-25,105.96862589968178
1945-07-26,105.978664457929
1945-07-27,105.98870396714304
1945-07-30,105.99874442741404
1945-07-31,106.00878583883213
1945-08-01,106.01839155724284
1945-08-02,106.02799814605147
1945-08-03,106.03760560533688
1945-08-06,106.0472139
1945-08-07,106.05682313565362
1945-08-08,106.06643320684267
1945-08-09,106.07604414882408
1945-08-10,106.0856559616767
1945-08-13,106.09526864547946
1945-08-14,106.10488220031132
1945-08-15,106.11449662625114
1945-08-16,106.1241119233779
1945-08-17,106.13372809177054
1945-08-20,106.14334513150796
1945-08-21,106.15296304266916
1945-08-22,106.16258182533312
1945-08-23,106.17220147957876
1945-08-24,106.18182200548507
1945-08-27,106.19144340313105
1945-08-28,106.20106567259566
1945-08-29,106.21068881395792
1945-08-30,106.22031282729684
1945-08-31,106.22993771269142
1945-09-03,106.2410074090766
1945-09-04,106.25207825898006
1945-09-05,106.26315026252205
1945-09-06,106.27422341982276
1945-09-07,106.28529773100244
1945-09-10,106.2963731961813
1945-09-11,106.3074498154796
1945-09-12,106.31852758901762
1945-09-13,106.3296065169156
1945-09-14,106.34068659929387
1945-09-17,106.35176783627271
1945-09-18,106.36285022797249
1945-09-19,106.37393377451347
1945-09-20,106.38501847601604
1945-09-21,106.3961043326005
1945-09-24,106.40719134438726
1945-09-25,106.41827951149664
