Date,Total Return Index
2007-04-10,100.0
2007-04-11,99.73422754049419
2007-04-12,99.72087177576687
2007-04-13,99.56141011470532
2007-04-16,99.65442866089042
2007-04-17,99.90691794134679
2007-04-18,100.09304576581428
2007-04-19,100.05315086261729
2007-04-20,100.0265663580989
2007-04-23,100.15947073427127
2007-04-24,100.31905034705935
2007-04-25,100.2392333210361
2007-04-26,100.0265663580989
2007-04-27,100.0
2007-04-30,100.33223372080174
2007-05-01,100.2749999138045
2007-05-02,100.28833753211235
2007-05-03,100.22174924588016
2007-05-04,100.30158441832286
2007-05-07,100.36820899739398
2007-05-08,100.38145588360452
2007-05-09,100.2617258079648
2007-05-10,100.35492581834453
2007-05-11,100.22174924588016
2007-05-14,100.15517910606746
2007-05-15,100.11528420287044
2007-05-16,100.15517910606746
2007-05-17,100.00871028134391
2007-05-18,99.76905959266006
2007-05-21,99.90229967759257
2007-05-22,99.74250230777089
2007-05-23,99.66263084248926
2007-05-24,99.6492932241814
2007-05-25,99.66263084248926
2007-05-29,99.52946334323462
2007-05-30,99.62268150003383
2007-05-31,99.54281003475221
2007-06-01,99.31294933937053
2007-06-04,99.41986804286692
2007-06-05,99.25959886613913
2007-06-06,99.35311643885954
2007-06-07,98.65837169637629
2007-06-08,98.6450250048587
2007-06-11,98.53813352099151
2007-06-12,98.05722618550105
2007-06-13,98.28435584475302
2007-06-14,98.1508072706896
2007-06-15,98.6450250048587
2007-06-18,98.53813352099151
2007-06-19,99.00570323817412
2007-06-20,98.52481404910313
2007-06-21,98.57820988838318
2007-06-22,98.72517773964206
2007-06-25,98.99239283949547
2007-06-26,98.95228017926485
2007-06-27,99.03242384083848
2007-06-28,98.89890248640425
2007-06-29,99.23286011705528
2007-07-02,99.47806361009587
2007-07-03,99.27711016092427
2007-07-05,98.87504901801559
2007-07-06,98.67395947069798
2007-07-09,98.78121388295452
2007-07-10,99.29051129170024
2007-07-11,99.04930908415203
2007-07-12,98.9152161175046
2007-07-13,99.07609319928451
2007-07-16,99.34403415591657
2007-07-17,99.22345119856193
2007-07-18,99.38427384108346
2007-07-19,99.34403415591657
2007-07-20,99.62549419505115
2007-07-23,99.59870100670891
2007-07-24,99.63890439903686
2007-07-25,99.7326760216298
2007-07-26,100.1213360337625
2007-07-27,100.04093832231634
2007-07-30,99.9470578212066
2007-07-31,100.14809292926581
2007-08-01,100.09976901422661
2007-08-02,100.2746732782541
2007-08-03,100.61102623627474
2007-08-06,100.32847741197217
2007-08-07,100.38225432606103
2007-08-08,100.05929342560667
