Date,Total Return Index
2012-08-22,100.0
2012-08-23,100.0
2012-08-24,100.0
2012-08-28,100.0
2012-08-29,100.0
2012-08-30,100.0
2012-08-31,100.0
2012-09-04,100.0
2012-09-05,100.0
2012-09-06,100.0
2012-09-07,100.0
2012-09-10,100.0
2012-09-11,100.0
2012-09-12,100.0
2012-09-13,100.0
2012-09-14,100.0
2012-09-17,100.0
2012-09-18,100.0
2012-09-20,100.0
2012-09-21,100.0
2012-09-24,100.0
2012-09-25,100.0
2012-09-26,100.0
2012-09-27,100.0
2012-09-28,100.0
2012-10-01,100.0
2012-10-02,100.0
2012-10-03,100.0
2012-10-04,100.0
2012-10-05,100.0
2012-10-08,100.0
2012-10-09,100.0
2012-10-10,100.0
2012-10-11,100.0
2012-10-12,100.0
2012-10-15,100.0
2012-10-16,100.0
2012-10-17,100.0
2012-10-18,100.0
2012-10-19,100.0
2012-10-22,100.0
2012-10-23,100.0
2012-10-24,100.0
2012-10-25,100.0
2012-10-26,100.0
2012-10-29,100.0
2012-10-30,100.0
2012-10-31,100.0
2012-11-01,100.0
2012-11-02,100.0
2012-11-05,100.0
2012-11-06,100.0
2012-11-07,100.0
2012-11-08,100.0
2012-11-09,100.0
2012-11-12,100.0
2012-11-13,100.0
2012-11-14,100.0
2012-11-15,100.0
2012-11-16,100.0
2012-11-19,100.0
2012-11-20,100.0
2012-11-21,100.0
2012-11-23,100.0
2012-11-26,100.0
2012-11-27,100.0
2012-11-28,100.0
2012-11-29,100.0
2012-11-30,100.0
2012-12-03,92.71028037383178
2012-12-04,93.0841121495327
2012-12-05,94.57943925233646
2012-12-06,93.64485981308411
2012-12-07,93.0841121495327
2012-12-10,92.71028037383178
2012-12-11,91.96261682242991
2012-12-12,94.01869158878505
2012-12-13,93.64485981308411
2012-12-14,92.33644859813084
2012-12-17,92.89719626168224
2012-12-18,93.27102803738318
2012-12-19,88.41121495327103
2012-12-20,85.23364485981308
2012-12-21,87.28971962616822
2012-12-26,87.47663551401868
2012-12-27,88.41121495327103
2012-12-28,91.77570093457945
2013-01-02,91.4018691588785
2013-01-03,89.34579439252336
2013-01-04,90.8411214953271
2013-01-07,90.09345794392523
2013-01-08,92.14953271028037
2013-01-09,91.21495327102804
2013-01-10,91.02803738317758
2013-01-11,92.33644859813084
2013-01-14,91.77570093457945
2013-01-15,89.34579439252336
2013-01-16,91.58878504672897
2013-01-17,90.8411214953271
2013-01-18,92.5233644859813
2013-01-22,93.83177570093459
2013-01-23,95.14018691588785
2013-01-24,94.57943925233646
2013-01-25,94.39252336448598
2013-01-28,92.5233644859813
2013-01-29,90.65420560747664
2013-01-30,92.89719626168224
2013-01-31,90.46728971962617
2013-02-01,90.46728971962617
2013-02-04,91.77570093457945
2013-02-05,93.27102803738318
2013-02-06,94.39252336448598
2013-02-07,94.57943925233646
2013-02-08,93.45794392523365
