Date,Total Return Index
2008-01-03,100.0
2008-01-04,99.7257975791349
2008-01-07,99.826867759426
2008-01-08,99.53733232802057
2008-01-09,99.98312236113122
2008-01-10,99.79124863017212
2008-01-11,99.67795529104197
2008-01-14,99.99866132211534
2008-01-15,98.844937233513
2008-01-16,99.21634826384805
2008-01-17,99.11861448074642
2008-01-18,99.05205129731274
2008-01-21,99.8838851397899
2008-01-22,99.48790422151042
2008-01-23,99.95493804289825
2008-01-24,99.39178714939254
2008-01-25,99.45683659706435
2008-01-28,99.34886707690622
2008-01-29,98.94253714882618
2008-01-30,98.70772275033637
2008-01-31,99.43768320579166
2008-02-01,99.64187277328953
2008-02-04,99.75440409577767
2008-02-05,100.41168463961864
2008-02-06,100.14034492992228
2008-02-07,99.96853077218853
2008-02-08,100.0201522509251
2008-02-11,99.9880033866491
2008-02-12,99.28726729916794
2008-02-13,99.20925327105941
2008-02-14,98.95047653843437
2008-02-15,99.04260846946487
2008-02-18,98.593657097042
2008-02-19,98.53365343524311
2008-02-20,98.38705790935174
2008-02-21,98.4723728806927
2008-02-22,98.5679750767011
2008-02-25,98.12215415102388
2008-02-26,97.86206963308075
2008-02-27,97.34768780466506
2008-02-28,97.74236093762647
2008-02-29,98.31359538605102
2008-03-03,98.34696965546756
2008-03-04,98.61882424127342
2008-03-05,98.09164259277604
2008-03-06,98.0371378078264
2008-03-07,98.0723553337149
2008-03-10,98.27584466970389
2008-03-11,98.28233210868335
2008-03-12,98.59397632022987
2008-03-13,98.8572221774852
2008-03-14,99.39852172890454
2008-03-17,99.95257991031681
2008-03-18,99.52200961500242
2008-03-19,99.64619773260918
2008-03-20,100.10981277663006
2008-03-25,99.50424638922534
2008-03-26,99.344727472986
2008-03-27,98.96974320245114
2008-03-28,98.39496640639337
2008-03-31,98.63040895373673
2008-04-01,98.20337070853337
2008-04-02,98.16449756226757
2008-04-03,98.30445118634664
2008-04-04,98.62671214327067
2008-04-07,98.20904464325984
2008-04-08,98.042111511044
2008-04-09,97.93913628914783
2008-04-10,98.27188012366088
2008-04-11,98.47249645095899
2008-04-14,98.30506903767801
2008-04-15,97.88330312383574
2008-04-16,97.47454298051895
2008-04-17,96.96917148401917
2008-04-18,96.3987505398476
2008-04-21,96.86140791430485
2008-04-22,96.9466405054683
2008-04-23,97.13710347588741
2008-04-24,96.94622860458071
2008-04-25,96.92167931168066
2008-04-28,96.5291583608569
2008-04-29,96.9988901330584
2008-04-30,97.241839574078
2008-05-02,97.05392009163971
2008-05-05,97.3908962077727
2008-05-06,97.67168904283913
2008-05-07,97.25391856760642
2008-05-08,98.11996077879749
2008-05-09,98.4323155193751
2008-05-13,98.40602594522501
2008-05-14,97.91080780560421
2008-05-15,97.6968973771593
2008-05-16,98.19424710387337
2008-05-19,97.96406659036889
2008-05-20,98.35934727713948
2008-05-21,98.15362337883535
2008-05-22,97.93971295039046
2008-05-23,98.01868464806262
2008-05-26,97.90107664713501
2008-05-27,97.73941584628022
2008-05-28,97.523476805964
2008-05-29,96.78447512602622
2008-05-30,97.1327579215234
2008-06-02,97.41649584793608
2008-06-03,96.72226779447875
2008-06-04,97.10959879411895
2008-06-05,96.79420628449542
2008-06-06,97.29745649142411
2008-06-09,96.58249952579911
2008-06-10,96.30060485585837
2008-06-11,96.18507695441308
2008-06-12,96.09704343721404
2008-06-13,96.15456539616525
2008-06-16,96.3387571755709
2008-06-17,96.44174269498924
2008-06-18,96.56443767187852
2008-06-19,96.16409060419063
2008-06-20,96.62599625952804
2008-06-23,96.96073781334587
2008-06-24,97.0075194566533
2008-06-25,96.64414049362614
2008-06-26,97.07481376416244
2008-06-27,97.12290319278794
2008-06-30,97.13864810421586
2008-07-01,97.15619508202697
2008-07-02,97.04553790857736
2008-07-03,97.47930043577054
2008-07-04,97.63080787974636
2008-07-07,98.09803735405579
2008-07-08,98.28748086977815
2008-07-09,98.4622607139025
2008-07-10,98.87727145318838
2008-07-11,98.55682286016973
2008-07-14,98.74519543358437
2008-07-15,97.49330506594842
2008-07-16,97.32486849549288
2008-07-17,97.17768601083671
2008-07-18,96.37619896625235
2008-07-21,95.91607478225374
2008-07-22,95.76393918942436
2008-07-23,95.38769862118237
2008-07-24,95.98247320533238
2008-07-25,96.2390977558198
2008-07-28,96.3383658697277
2008-07-29,96.55654976988127
2008-07-30,97.01574717688281
2008-07-31,97.6158970676158
2008-08-04,97.51789554893723
2008-08-05,97.64928163455453
2008-08-06,97.53543222922613
2008-08-07,98.31997984980858
2008-08-08,98.05094678508269
2008-08-11,98.02393638437931
2008-08-12,98.49706633890341
2008-08-13,98.87792019708634
2008-08-14,98.7496336656481
2008-08-15,98.93633804046803
2008-08-18,99.16370733041474
2008-08-19,99.40640963090179
2008-08-20,99.64902955121133
2008-08-21,99.25956696447787
2008-08-22,98.82217970947394
2008-08-25,99.23581058078643
2008-08-26,99.4410196029811
2008-08-27,98.84950933336518
2008-08-28,99.08360290530172
2008-08-29,99.29599959798473
2008-09-01,99.46081144062954
2008-09-02,99.18680467268605
2008-09-03,99.07355252364466
2008-09-04,99.56144912498864
2008-09-05,100.10579674297611
2008-09-08,99.90223532433178
2008-09-09,99.82859774315385
2008-09-10,99.63930869026433
2008-09-11,99.70088787295823
2008-09-12,99.45398418341782
2008-09-15,99.69918878179695
2008-09-16,100.23276519157407
2008-09-17,100.46719858174286
2008-09-18,100.61606986003815
2008-09-19,99.68032372114557
2008-09-22,99.22437003363378
2008-09-23,99.4025377625585
2008-09-24,99.70252517898638
2008-09-25,99.34530413422861
2008-09-26,99.91077197022697
2008-09-29,101.5097918108749
2008-09-30,102.17650488504155
2008-10-01,102.79149350524979
2008-10-02,103.08173946568628
2008-10-03,102.12881705978145
2008-10-06,102.55609214799517
2008-10-07,102.26279812099052
2008-10-08,102.660570808131
2008-10-09,102.25362302871959
2008-10-10,101.03457145934631
2008-10-13,99.79581043250211
2008-10-14,99.33457411610704
2008-10-15,99.11141651273587
2008-10-16,99.23226823315319
2008-10-17,99.20413540253116
2008-10-20,98.85577022685648
2008-10-21,99.39473224073878
2008-10-22,100.10644548687407
2008-10-23,100.1449891124298
2008-10-24,101.02978311152815
2008-10-27,101.37252584008732
2008-10-28,100.97977834377537
2008-10-29,100.61586390959434
2008-10-30,100.48088398873287
2008-10-31,99.76523708912114
2008-11-03,99.78280466197663
2008-11-04,99.54088497317598
2008-11-05,99.64296431064164
2008-11-06,100.24413365607141
2008-11-07,100.71490547801407
2008-11-10,100.78076842993886
2008-11-11,101.14113021896445
2008-11-12,101.18679972987539
2008-11-13,100.99700609839859
2008-11-14,101.78783520751668
2008-11-17,102.50937228982089
2008-11-18,102.6514575009932
2008-11-19,103.68455641466639
2008-11-20,106.30779870486005
2008-11-21,106.15149261554386
2008-11-24,105.74966270466068
2008-11-25,106.03381253196093
2008-11-26,107.2789477250405
2008-11-27,107.05161962518255
2008-11-28,106.96333896745098
2008-12-01,106.97960905251055
2008-12-02,107.97713002701863
2008-12-03,108.46120624763029
2008-12-04,108.67533292404114
2008-12-05,108.87930624357305
2008-12-08,108.47136990203143
2008-12-09,107.21505159985394
2008-12-10,107.04251661556692
2008-12-11,107.50221860115576
2008-12-12,107.20283873853707
2008-12-15,107.65950295507993
2008-12-16,107.52253561243586
2008-12-17,108.17704612280782
2008-12-18,108.03196433267834
2008-12-19,108.05023213704273
2008-12-22,108.10702297191845
2008-12-23,107.97511171266947
2008-12-29,108.48757820195789
2008-12-30,107.90304965238656
2009-01-05,106.7573473335699
2009-01-06,106.60514995560739
2009-01-07,105.53957265694814
2009-01-08,105.0321828460992
2009-01-09,106.04699336036364
2009-01-12,106.300683117027
2009-01-13,107.47664985355894
2009-01-14,108.44193958361352
2009-01-15,108.39118309674089
2009-01-16,106.5137903387411
2009-01-19,106.04699336036364
2009-01-20,106.04699336036364
2009-01-21,105.18439052158392
2009-01-22,104.92056800308596
2009-01-23,105.01188642986348
2009-01-26,104.4638728939765
2009-01-27,104.55524280836497
2009-01-28,106.84865546282522
2009-01-29,105.51934832336774
2009-01-30,105.1539613435136
2009-02-02,107.60975562538191
2009-02-03,106.54424011185581
2009-02-04,105.73241435499308
2009-02-05,107.59961256602513
2009-02-06,107.59961256602513
2009-02-09,107.16328595580673
2009-02-10,107.76204568104413
2009-02-11,108.34045750243484
