Date,Total Return Index
1/1/45,100
1/2/45,100.20861655202388
1/3/45,100.41766831270554
1/4/45,100.62715618996229
1/5/45,100.83708109360549
1/8/45,101.0474439353445
1/9/45,101.25824562879069
1/10/45,101.46948708946137
1/11/45,101.68116923478372
1/12/45,101.8932929840989
1/15/45,102.10585925866594
1/16/45,102.31886898166573
1/17/45,102.53232307820512
1/18/45,102.74622247532086
1/19/45,102.96056810198365
1/22/45,103.17536088910221
1/23/45,103.39060176952727
1/24/45,103.6062916780556
1/25/45,103.82243155143416
1/26/45,104.03902232836413
1/29/45,104.25606494950492
1/30/45,104.47356035747838
1/31/45,104.69150949687274
2/1/45,104.70241888126277
2/2/45,104.71332940246577
2/5/45,104.72424106060024
2/6/45,104.73515385578462
2/7/45,104.74606778813741
2/8/45,104.75698285777712
2/9/45,104.76789906482222
2/12/45,104.77881640939128
2/13/45,104.78973489160282
2/14/45,104.80065451157537
2/15/45,104.81157526942754
2/16/45,104.82249716527785
2/19/45,104.83342019924491
2/20/45,104.8443443714473
2/21/45,104.85526968200368
2/22/45,104.86619613103262
2/23/45,104.87712371865277
2/26/45,104.88805244498276
2/27/45,104.89898231014129
2/28/45,104.90991331424698
3/1/45,104.91985157914918
3/2/45,104.92979078551733
3/5/45,104.93973093344057
3/6/45,104.94967202300816
3/7/45,104.95961405430924
3/8/45,104.96955702743304
3/9/45,104.97950094246879
3/12/45,104.98944579950572
3/13/45,104.99939159863305
3/14/45,105.00933833994007
3/15/45,105.01928602351597
3/16/45,105.02923464945006
3/19/45,105.03918421783162
3/20/45,105.04913472874989
3/21/45,105.05908618229417
3/22/45,105.06903857855376
3/23/45,105.07899191761797
3/26/45,105.0889461995761
3/27/45,105.0989014245175
3/28/45,105.10885759253146
3/29/45,105.11881470370736
3/30/45,105.1287727581345
4/2/45,105.13920601742277
4/3/45,105.14964031213545
4/4/45,105.16007564237533
4/5/45,105.17051200824517
4/6/45,105.18094940984773
4/9/45,105.19138784728582
4/10/45,105.20182732066222
4/11/45,105.21226783007977
4/12/45,105.22270937564124
4/13/45,105.23315195744952
4/16/45,105.2435955756074
4/17/45,105.25404023021774
4/18/45,105.26448592138343
4/19/45,105.27493264920732
4/20/45,105.28538041379228
4/23/45,105.29582921524121
4/24/45,105.30627905365702
4/25/45,105.3167299291426
4/26/45,105.32718184180091
4/27/45,105.33763479173484
4/30/45,105.34808877904736
5/1/45,105.35763463006256
5/2/45,105.36718134605093
5/3/45,105.37672892709088
5/4/45,105.38627737326075
5/7/45,105.39582668463899
5/8/45,105.40537686130394
5/9/45,105.41492790333402
5/10/45,105.42447981080767
5/11/45,105.43403258380329
5/14/45,105.44358622239932
5/15/45,105.45314072667416
5/16/45,105.4626960967063
5/17/45,105.47225233257416
5/18/45,105.48180943435618
5/21/45,105.49136740213086
5/22/45,105.50092623597664
5/23/45,105.5104859
5/24/45,105.52004650219546
5/25/45,105.52960793472546
5/28/45,105.53917023364053
5/29/45,105.54873339901917
5/30/45,105.5582974309399
5/31/45,105.56786232948123
6/1/45,105.57833916518753
6/4/45,105.58881704064288
6/5/45,105.59929595595051
6/6/45,105.60977591121356
6/7/45,105.62025690653527
6/8/45,105.63073894201888
6/11/45,105.6412220177676
6/12/45,105.65170613388466
6/13/45,105.66219129047333
6/14/45,105.67267748763683
6/15/45,105.68316472547846
6/18/45,105.6936530041015
6/19/45,105.70414232360925
6/20/45,105.71463268410494
6/21/45,105.72512408569199
6/22/45,105.73561652847364
6/25/45,105.74611001255325
6/26/45,105.75660453803414
6/27/45,105.76710010501968
6/28/45,105.77759671361324
6/29/45,105.78809436391818
7/2/45,105.79811582015691
7/3/45,105.80813822574243
7/4/45,105.8181615807646
7/5/45,105.82818588531343
7/6/45,105.83821113947886
7/9/45,105.84823734335083
7/10/45,105.85826449701932
7/11/45,105.8682926005743
7/12/45,105.87832165410575
7/13/45,105.88835165770365
7/16/45,105.89838261145805
7/17/45,105.9084145154589
7/18/45,105.91844736979628
7/19/45,105.92848117456018
7/20/45,105.93851592984062
7/23/45,105.94855163572767
7/24/45,105.95858829231138
7/25/45,105.96862589968178
7/26/45,105.97866445792899
7/27/45,105.98870396714304
7/30/45,105.99874442741405
7/31/45,106.00878583883211
8/1/45,106.01839155724284
8/2/45,106.02799814605149
8/3/45,106.03760560533689
8/6/45,106.0472139
8/7/45,106.05682313565362
