Date,Total Return Index,Beta Raw,Volatility 30D
1945-01-31,100.0,,
1945-02-01,100.01641873505879,,
1945-02-02,100.0328401658662,,
1945-02-05,100.04926429286482,,
1945-02-06,100.06569111649735,,
1945-02-07,100.08212063720651,,
1945-02-08,100.09855285543516,,
1945-02-09,100.11498777162619,,
1945-02-12,100.13142538622257,,
1945-02-13,100.14786569966734,,
1945-02-14,100.16430871240361,,
1945-02-15,100.18075442487456,,
1945-02-16,100.1972028375235,,
1945-02-19,100.21365395079373,,
1945-02-20,100.23010776512864,,
1945-02-21,100.24656428097173,,
1945-02-22,100.26302349876657,,
1945-02-23,100.2794854189568,,
1945-02-26,100.29595004198606,,
1945-02-27,100.31241736829816,,
1945-02-28,100.32888739833693,,
1945-03-01,100.3438100155223,,
1945-03-02,100.3587348522529,,
1945-03-05,100.37366190885882,,
1945-03-06,100.38859118567032,,
1945-03-07,100.40352268301758,,
1945-03-08,100.41845640123087,,
1945-03-09,100.43339234064052,,
1945-03-12,100.44833050157693,,
1945-03-13,100.4632708843705,,
1945-03-14,100.47821348935167,,
1945-03-15,100.49315831685102,,
1945-03-16,100.50810536719912,,
1945-03-19,100.52305464072654,,
1945-03-20,100.53800613776399,,
1945-03-21,100.55295985864217,,
1945-03-22,100.56791580369185,,
1945-03-23,100.58287397324385,,
1945-03-26,100.59783436762902,,
1945-03-27,100.6127969871783,,
1945-03-28,100.62776183222266,,
1945-03-29,100.64272890309307,,
1945-03-30,100.65769820012065,,
1945-04-02,100.67332754896661,,
1945-04-03,100.68895932461699,,
1945-04-04,100.7045935274486,,
1945-04-05,100.72023015783829,,
1945-04-06,100.73586921616301,,
1945-04-09,100.75151070279975,,
1945-04-10,100.76715461812553,,
1945-04-11,100.7828009625175,,
1945-04-12,100.79844973635282,,
1945-04-13,100.8141009400087,,
1945-04-16,100.82975457386242,,
1945-04-17,100.84541063829136,,
1945-04-18,100.86106913367287,,
1945-04-19,100.87673006038443,,
1945-04-20,100.89239341880358,,
1945-04-23,100.90805920930786,,
1945-04-24,100.92372743227494,,
1945-04-25,100.9393980880825,,
1945-04-26,100.95507117710828,,
1945-04-27,100.9707466997301,,
1945-04-30,100.98642465632584,,
1945-05-01,101.00069091476604,,
1945-05-02,101.01495918858733,,
1945-05-03,101.02922947807441,,
1945-05-04,101.04350178351204,,
1945-05-07,101.057776105185,,
1945-05-08,101.07205244337814,,
1945-05-09,101.08633079837631,,
1945-05-10,101.10061117046443,,
1945-05-11,101.11489355992747,,
1945-05-14,101.12917796705038,,
1945-05-15,101.14346439211825,,
1945-05-16,101.15775283541612,,
1945-05-17,101.17204329722911,,
1945-05-18,101.18633577784236,,
1945-05-21,101.20063027754107,,
1945-05-22,101.21492679661046,,
1945-05-23,101.22922533533584,,
1945-05-24,101.24352589400252,,
1945-05-25,101.25782847289584,,
1945-05-28,101.27213307230119,,
1945-05-29,101.28643969250403,,
1945-05-30,101.30074833378983,,
1945-05-31,101.31505899644407,,
1945-06-01,101.33067938673092,,
1945-06-04,101.34630218531318,,
1945-06-05,101.36192739256217,,
1945-06-06,101.37755500884926,,
1945-06-07,101.39318503454584,,
1945-06-08,101.40881747002338,,
1945-06-11,101.42445231565343,,
1945-06-12,101.44008957180759,,
1945-06-13,101.45572923885749,,
1945-06-14,101.4713713171748,,
1945-06-15,101.48701580713134,,
1945-06-18,101.50266270909891,,
1945-06-19,101.51831202344937,,
1945-06-20,101.53396375055465,,
1945-06-21,101.54961789078676,,
1945-06-22,101.56527444451774,,
1945-06-25,101.58093341211969,,
1945-06-26,101.59659479396477,,
1945-06-27,101.61225859042518,,
1945-06-28,101.62792480187325,,
1945-06-29,101.64359342868126,,
1945-07-02,101.65849894203971,,
1945-07-03,101.67340664121551,,
1945-07-04,101.68831652652918,,
1945-07-05,101.7032285983013,,
1945-07-06,101.71814285685252,,
1945-07-09,101.73305930250349,,
1945-07-10,101.74797793557498,,
1945-07-11,101.76289875638774,,
1945-07-12,101.77782176526262,,
1945-07-13,101.79274696252044,,
1945-07-16,101.80767434848212,,
1945-07-17,101.82260392346866,,
1945-07-18,101.83753568780105,,
1945-07-19,101.85246964180035,,
1945-07-20,101.86740578578764,,
1945-07-23,101.8823441200841,,
1945-07-24,101.89728464501091,,
1945-07-25,101.91222736088935,,
1945-07-26,101.92717226804066,,
1945-07-27,101.94211936678622,,
1945-07-30,101.95706865744738,,
1945-07-31,101.9720201403456,,
1945-08-01,101.98627260457137,,
1945-08-02,102.00052706084104,,
1945-08-03,102.01478350943296,,
1945-08-06,102.02904195062564,,
1945-08-07,102.04330238469758,,
1945-08-08,102.05756481192729,,
1945-08-09,102.0718292325934,,
1945-08-10,102.0860956469745,,
1945-08-13,102.10036405534923,,
1945-08-14,102.1146344579963,,
1945-08-15,102.12890685519446,,
1945-08-16,102.14318124722247,,
1945-08-17,102.15745763435916,,
1945-08-20,102.17173601688336,,
1945-08-21,102.186016395074,,
1945-08-22,102.20029876920998,,
1945-08-23,102.21458313957028,,
1945-08-24,102.22886950643391,,
1945-08-27,102.24315787007991,,
1945-08-28,102.25744823078738,,
1945-08-29,102.27174058883543,,
1945-08-30,102.28603494450324,,
1945-08-31,102.30033129807,,
1945-09-03,102.3167157323348,,
1945-09-04,102.3331027907327,,
1945-09-05,102.34949247368397,,
1945-09-06,102.36588478160898,,
1945-09-07,102.38227971492815,,
1945-09-10,102.39867727406194,,
1945-09-11,102.41507745943093,,
1945-09-12,102.43148027145573,,
1945-09-13,102.44788571055702,,
1945-09-14,102.46429377715555,,
1945-09-17,102.48070447167215,,
1945-09-18,102.4971177945277,,
1945-09-19,102.51353374614314,,
1945-09-20,102.52995232693951,,
1945-09-21,102.54637353733793,,
1945-09-24,102.5627973777595,,
1945-09-25,102.57922384862547,,
1945-09-26,102.59565295035715,,
1945-09-27,102.61208468337588,,
1945-09-28,102.6285190481031,,
1945-10-01,102.64276061267006,,
1945-10-02,102.65700415351186,,
1945-10-03,102.67124967090277,,
1945-10-04,102.68549716511704,,
1945-10-05,102.69974663642901,,
1945-10-08,102.71399808511306,,
1945-10-09,102.72825151144356,,
1945-10-10,102.74250691569493,,
1945-10-11,102.75676429814166,,
1945-10-12,102.77102365905826,,
1945-10-15,102.78528499871928,,
1945-10-16,102.7995483173993,,
1945-10-17,102.81381361537298,,
1945-10-18,102.82808089291493,,
1945-10-19,102.84235015029986,,
1945-10-22,102.85662138780253,,
1945-10-23,102.87089460569771,,
1945-10-24,102.88516980426022,,
1945-10-25,102.8994469837649,,
1945-10-26,102.91372614448665,,
1945-10-29,102.92800728670039,,
1945-10-30,102.94229041068112,,
1945-10-31,102.95657551670381,,
1945-11-01,102.97145823729814,,
1945-11-02,102.98634310924,,
1945-11-05,103.00123013284033,,
1945-11-06,103.0161193084102,,
1945-11-07,103.03101063626066,,
1945-11-08,103.04590411670284,,
1945-11-09,103.06079975004789,,
1945-11-12,103.07569753660707,,
1945-11-13,103.09059747669154,,
1945-11-14,103.1054995706127,,
1945-11-15,103.12040381868182,,
1945-11-16,103.13531022121032,,
1945-11-19,103.15021877850965,,
1945-11-20,103.16512949089126,,
1945-11-21,103.18004235866668,,
